Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
314363,MALARIA_CONF_CASES,COUNTRY,LBR,AFR,Africa,YEAR,2007,,,,,,,,,492 272,492272,,,,2023-05-10T14:47:54Z,2007,2007-01-01,2007-12-31
369753,MALARIA_CONF_CASES,COUNTRY,PNG,WPR,Western Pacific,YEAR,2020,,,,,,,,,750 254,750254,,,,2023-05-10T14:48:23Z,2020,2020-01-01,2020-12-31
314293,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,Americas,YEAR,2006,,,,,,,,,3 289,3289,,,,2023-05-10T14:48:08Z,2006,2006-01-01,2006-12-31
295207,MALARIA_CONF_CASES,COUNTRY,BRA,AMR,Americas,YEAR,2001,,,,,,,,,388 303,388303,,,,2023-05-10T14:48:21Z,2001,2001-01-01,2001-12-31
351133,MALARIA_CONF_CASES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2016,,,,,,,,,27 737,27737,,,,2023-05-10T14:48:01Z,2016,2016-01-01,2016-12-31
295343,MALARIA_CONF_CASES,COUNTRY,PHL,WPR,Western Pacific,YEAR,2002,,,,,,,,,22 831,22831,,,,2023-05-10T14:47:57Z,2002,2002-01-01,2002-12-31
361555,MALARIA_CONF_CASES,COUNTRY,NER,AFR,Africa,YEAR,2018,,,,,,,,,3 046 450,3046450,,,,2023-05-10T14:48:15Z,2018,2018-01-01,2018-12-31
295261,MALARIA_CONF_CASES,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,203 491,203491,,,,2023-05-10T14:47:55Z,2001,2001-01-01,2001-12-31
351221,MALARIA_CONF_CASES,COUNTRY,TJK,EUR,Europe,YEAR,2016,,,,,,,,,1,1,,,,2023-05-10T14:48:23Z,2016,2016-01-01,2016-12-31
351101,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,Americas,YEAR,2015,,,,,,,,,376,376,,,,2023-05-10T14:48:17Z,2015,2015-01-01,2015-12-31
332352,MALARIA_CONF_CASES,COUNTRY,GMB,AFR,Africa,YEAR,2011,,,,,,,,,268 020,268020,,,,2023-05-10T14:48:08Z,2011,2011-01-01,2011-12-31
304826,MALARIA_CONF_CASES,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,0,0,,,,2023-05-10T14:48:03Z,2005,2005-01-01,2005-12-31
361593,MALARIA_CONF_CASES,REGION,WPR,,,YEAR,2018,,,,,,,,,664 875,664875,,,,2023-05-10T14:48:14Z,2018,2018-01-01,2018-12-31
361553,MALARIA_CONF_CASES,COUNTRY,MYT,AFR,Africa,YEAR,2018,,,,,,,,,47,47,,,,2023-05-10T14:48:14Z,2018,2018-01-01,2018-12-31
351242,MALARIA_CONF_CASES,COUNTRY,ARM,EUR,Europe,YEAR,2017,,,,,,,,,2,2,,,,2023-05-10T14:48:08Z,2017,2017-01-01,2017-12-31
304844,MALARIA_CONF_CASES,COUNTRY,CPV,AFR,Africa,YEAR,2005,,,,,,,,,68,68,,,,2023-05-10T14:48:07Z,2005,2005-01-01,2005-12-31
332325,MALARIA_CONF_CASES,COUNTRY,BFA,AFR,Africa,YEAR,2011,,,,,,,,,428 113,428113,,,,2023-05-10T14:48:17Z,2011,2011-01-01,2011-12-31
332314,MALARIA_CONF_CASES,COUNTRY,ZAF,AFR,Africa,YEAR,2010,,,,,,,,,8 060,8060,,,,2023-05-10T14:48:19Z,2010,2010-01-01,2010-12-31
351300,MALARIA_CONF_CASES,COUNTRY,MOZ,AFR,Africa,YEAR,2017,,,,,,,,,9 892 601,9892601,,,,2023-05-10T14:47:59Z,2017,2017-01-01,2017-12-31
369800,MALARIA_CONF_CASES,COUNTRY,BWA,AFR,Africa,YEAR,2021,,,,,,,,,729,729,,,,2023-05-10T14:48:09Z,2021,2021-01-01,2021-12-31
369852,MALARIA_CONF_CASES,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,399 097,399097,,,,2023-05-10T14:48:07Z,2021,2021-01-01,2021-12-31
332445,MALARIA_CONF_CASES,COUNTRY,COD,AFR,Africa,YEAR,2012,,,,,,,,,4 791 598,4791598,,,,2023-05-10T14:48:09Z,2012,2012-01-01,2012-12-31
304737,MALARIA_CONF_CASES,COUNTRY,BWA,AFR,Africa,YEAR,2004,,,,,,,,,198,198,,,,2023-05-10T14:48:11Z,2004,2004-01-01,2004-12-31
369783,MALARIA_CONF_CASES,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,164 066,164066,,,,2023-05-10T14:48:13Z,2020,2020-01-01,2020-12-31
295278,MALARIA_CONF_CASES,COUNTRY,UZB,EUR,Europe,YEAR,2001,,,,,,,,,145,145,,,,2023-05-10T14:48:21Z,2001,2001-01-01,2001-12-31
332384,MALARIA_CONF_CASES,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2011,,,,,,,,,3 414,3414,,,,2023-05-10T14:48:18Z,2011,2011-01-01,2011-12-31
341685,MALARIA_CONF_CASES,COUNTRY,GTM,AMR,Americas,YEAR,2014,,,,,,,,,4 931,4931,,,,2023-05-10T14:48:04Z,2014,2014-01-01,2014-12-31
332376,MALARIA_CONF_CASES,COUNTRY,MOZ,AFR,Africa,YEAR,2011,,,,,,,,,1 756 874,1756874,,,,2023-05-10T14:48:18Z,2011,2011-01-01,2011-12-31
341554,MALARIA_CONF_CASES,COUNTRY,COL,AMR,Americas,YEAR,2013,,,,,,,,,51 722,51722,,,,2023-05-10T14:48:09Z,2013,2013-01-01,2013-12-31
323107,MALARIA_CONF_CASES,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,65 000,65000,,,,2023-05-10T14:48:00Z,2009,2009-01-01,2009-12-31
332466,MALARIA_CONF_CASES,COUNTRY,GNQ,AFR,Africa,YEAR,2012,,,,,,,,,15 169,15169,,,,2023-05-10T14:48:01Z,2012,2012-01-01,2012-12-31
295309,MALARIA_CONF_CASES,REGION,EMR,,,YEAR,2002,,,,,,,,,913 913,913913,,,,2023-05-10T14:48:24Z,2002,2002-01-01,2002-12-31
341786,MALARIA_CONF_CASES,COUNTRY,ECU,AMR,Americas,YEAR,2015,,,,,,,,,686,686,,,,2023-05-10T14:48:12Z,2015,2015-01-01,2015-12-31
369765,MALARIA_CONF_CASES,COUNTRY,SSD,AFR,Africa,YEAR,2020,,,,,,,,,661 922,661922,,,,2023-05-10T14:48:22Z,2020,2020-01-01,2020-12-31
341787,MALARIA_CONF_CASES,REGION,EMR,,,YEAR,2015,,,,,,,,,1 025 681,1025681,,,,2023-05-10T14:48:11Z,2015,2015-01-01,2015-12-31
361586,MALARIA_CONF_CASES,COUNTRY,TUR,EUR,Europe,YEAR,2018,,,,,,,,,238,238,,,,2023-05-10T14:47:59Z,2018,2018-01-01,2018-12-31
341570,MALARIA_CONF_CASES,GLOBAL,GLOBAL,,,YEAR,2013,,,,,,,,,50 084 597,50084597,,,,2023-05-10T14:48:05Z,2013,2013-01-01,2013-12-31
304819,MALARIA_CONF_CASES,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,48 756,48756,,,,2023-05-10T14:48:04Z,2004,2004-01-01,2004-12-31
295245,MALARIA_CONF_CASES,COUNTRY,MEX,AMR,Americas,YEAR,2001,,,,,,,,,4 996,4996,,,,2023-05-10T14:48:22Z,2001,2001-01-01,2001-12-31
369748,MALARIA_CONF_CASES,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,276,276,,,,2023-05-10T14:48:15Z,2020,2020-01-01,2020-12-31
295289,MALARIA_CONF_CASES,COUNTRY,ARM,EUR,Europe,YEAR,2002,,,,,,,,,88,88,,,,2023-05-10T14:48:24Z,2002,2002-01-01,2002-12-31
295221,MALARIA_CONF_CASES,REGION,EMR,,,YEAR,2001,,,,,,,,,404 048,404048,,,,2023-05-10T14:48:07Z,2001,2001-01-01,2001-12-31
285888,MALARIA_CONF_CASES,REGION,EUR,,,YEAR,2000,,,,,,,,,32 797,32797,,,,2023-05-10T14:48:21Z,2000,2000-01-01,2000-12-31
361551,MALARIA_CONF_CASES,COUNTRY,MWI,AFR,Africa,YEAR,2018,,,,,,,,,5 865 476,5865476,,,,2023-05-10T14:48:03Z,2018,2018-01-01,2018-12-31
341687,MALARIA_CONF_CASES,COUNTRY,GUY,AMR,Americas,YEAR,2014,,,,,,,,,12 354,12354,,,,2023-05-10T14:48:02Z,2014,2014-01-01,2014-12-31
314455,MALARIA_CONF_CASES,COUNTRY,HND,AMR,Americas,YEAR,2008,,,,,,,,,8 368,8368,,,,2023-05-10T14:48:15Z,2008,2008-01-01,2008-12-31
314424,MALARIA_CONF_CASES,COUNTRY,BLZ,AMR,Americas,YEAR,2008,,,,,,,,,540,540,,,,2023-05-10T14:48:10Z,2008,2008-01-01,2008-12-31
351307,MALARIA_CONF_CASES,COUNTRY,NGA,AFR,Africa,YEAR,2017,,,,,,,,,13 087 878,13087878,,,,2023-05-10T14:48:18Z,2017,2017-01-01,2017-12-31
351096,MALARIA_CONF_CASES,COUNTRY,SLE,AFR,Africa,YEAR,2015,,,,,,,,,1 483 376,1483376,,,,2023-05-10T14:48:24Z,2015,2015-01-01,2015-12-31
341600,MALARIA_CONF_CASES,COUNTRY,NAM,AFR,Africa,YEAR,2013,,,,,,,,,4 775,4775,,,,2023-05-10T14:48:07Z,2013,2013-01-01,2013-12-31
314433,MALARIA_CONF_CASES,COUNTRY,COL,AMR,Americas,YEAR,2008,,,,,,,,,79 230,79230,,,,2023-05-10T14:48:00Z,2008,2008-01-01,2008-12-31
341789,MALARIA_CONF_CASES,COUNTRY,ETH,AFR,Africa,YEAR,2015,,,,,,,,,1 867 059,1867059,,,,2023-05-10T14:48:21Z,2015,2015-01-01,2015-12-31
295212,MALARIA_CONF_CASES,COUNTRY,CIV,AFR,Africa,YEAR,2001,,,,,,,,,11 936,11936,,,,2023-05-10T14:48:01Z,2001,2001-01-01,2001-12-31
361669,MALARIA_CONF_CASES,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2019,,,,,,,,,710,710,,,,2023-05-10T14:48:12Z,2019,2019-01-01,2019-12-31
341778,MALARIA_CONF_CASES,COUNTRY,COG,AFR,Africa,YEAR,2015,,,,,,,,,51 529,51529,,,,2023-05-10T14:48:23Z,2015,2015-01-01,2015-12-31
351067,MALARIA_CONF_CASES,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,510,510,,,,2023-05-10T14:48:21Z,2015,2015-01-01,2015-12-31
369849,MALARIA_CONF_CASES,COUNTRY,NIC,AMR,Americas,YEAR,2021,,,,,,,,,23 323,23323,,,,2023-05-10T14:48:04Z,2021,2021-01-01,2021-12-31
295372,MALARIA_CONF_CASES,COUNTRY,VUT,WPR,Western Pacific,YEAR,2002,,,,,,,,,14 339,14339,,,,2023-05-10T14:48:01Z,2002,2002-01-01,2002-12-31
332456,MALARIA_CONF_CASES,COUNTRY,ERI,AFR,Africa,YEAR,2012,,,,,,,,,21 815,21815,,,,2023-05-10T14:48:13Z,2012,2012-01-01,2012-12-31
323073,MALARIA_CONF_CASES,COUNTRY,PNG,WPR,Western Pacific,YEAR,2008,,,,,,,,,84 452,84452,,,,2023-05-10T14:48:11Z,2008,2008-01-01,2008-12-31
323099,MALARIA_CONF_CASES,COUNTRY,UZB,EUR,Europe,YEAR,2008,,,,,,,,,34,34,,,,2023-05-10T14:48:21Z,2008,2008-01-01,2008-12-31
295296,MALARIA_CONF_CASES,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2002,,,,,,,,,6 511,6511,,,,2023-05-10T14:47:58Z,2002,2002-01-01,2002-12-31
332441,MALARIA_CONF_CASES,COUNTRY,CAF,AFR,Africa,YEAR,2012,,,,,,,,,87 566,87566,,,,2023-05-10T14:48:06Z,2012,2012-01-01,2012-12-31
304848,MALARIA_CONF_CASES,COUNTRY,DZA,AFR,Africa,YEAR,2005,,,,,,,,,299,299,,,,2023-05-10T14:47:54Z,2005,2005-01-01,2005-12-31
323279,MALARIA_CONF_CASES,COUNTRY,NGA,AFR,Africa,YEAR,2010,,,,,,,,,551 187,551187,,,,2023-05-10T14:48:09Z,2010,2010-01-01,2010-12-31
369729,MALARIA_CONF_CASES,COUNTRY,KGZ,EUR,Europe,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:48:19Z,2020,2020-01-01,2020-12-31
295400,MALARIA_CONF_CASES,COUNTRY,DZA,AFR,Africa,YEAR,2003,,,,,,,,,427,427,,,,2023-05-10T14:48:15Z,2003,2003-01-01,2003-12-31
304860,MALARIA_CONF_CASES,COUNTRY,GTM,AMR,Americas,YEAR,2005,,,,,,,,,39 751,39751,,,,2023-05-10T14:48:23Z,2005,2005-01-01,2005-12-31
314383,MALARIA_CONF_CASES,COUNTRY,PRY,AMR,Americas,YEAR,2007,,,,,,,,,1 341,1341,,,,2023-05-10T14:48:11Z,2007,2007-01-01,2007-12-31
332523,MALARIA_CONF_CASES,COUNTRY,TKM,EUR,Europe,YEAR,2012,,,,,,,,,0,0,,,,2023-05-10T14:48:21Z,2012,2012-01-01,2012-12-31
369762,MALARIA_CONF_CASES,COUNTRY,SLE,AFR,Africa,YEAR,2020,,,,,,,,,725 006,725006,,,,2023-05-10T14:47:57Z,2020,2020-01-01,2020-12-31
351274,MALARIA_CONF_CASES,COUNTRY,GIN,AFR,Africa,YEAR,2017,,,,,,,,,1 335 323,1335323,,,,2023-05-10T14:48:08Z,2017,2017-01-01,2017-12-31
332393,MALARIA_CONF_CASES,COUNTRY,RWA,AFR,Africa,YEAR,2011,,,,,,,,,273 293,273293,,,,2023-05-10T14:48:01Z,2011,2011-01-01,2011-12-31
361676,MALARIA_CONF_CASES,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2019,,,,,,,,,1 869,1869,,,,2023-05-10T14:48:12Z,2019,2019-01-01,2019-12-31
332413,MALARIA_CONF_CASES,COUNTRY,TUR,EUR,Europe,YEAR,2011,,,,,,,,,132,132,,,,2023-05-10T14:47:59Z,2011,2011-01-01,2011-12-31
341772,MALARIA_CONF_CASES,COUNTRY,BWA,AFR,Africa,YEAR,2015,,,,,,,,,332,332,,,,2023-05-10T14:48:13Z,2015,2015-01-01,2015-12-31
323128,MALARIA_CONF_CASES,COUNTRY,COL,AMR,Americas,YEAR,2009,,,,,,,,,79 347,79347,,,,2023-05-10T14:48:00Z,2009,2009-01-01,2009-12-31
304804,MALARIA_CONF_CASES,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,13,13,,,,2023-05-10T14:48:07Z,2004,2004-01-01,2004-12-31
295395,MALARIA_CONF_CASES,COUNTRY,COM,AFR,Africa,YEAR,2003,,,,,,,,,867 398,867398,,,,2023-05-10T14:48:14Z,2003,2003-01-01,2003-12-31
314407,MALARIA_CONF_CASES,COUNTRY,VNM,WPR,Western Pacific,YEAR,2007,,,,,,,,,16 389,16389,,,,2023-05-10T14:47:57Z,2007,2007-01-01,2007-12-31
361654,MALARIA_CONF_CASES,COUNTRY,LBR,AFR,Africa,YEAR,2019,,,,,,,,,915 845,915845,,,,2023-05-10T14:48:07Z,2019,2019-01-01,2019-12-31
351079,MALARIA_CONF_CASES,COUNTRY,NGA,AFR,Africa,YEAR,2015,,,,,,,,,8 068 583,8068583,,,,2023-05-10T14:48:09Z,2015,2015-01-01,2015-12-31
361578,MALARIA_CONF_CASES,COUNTRY,SUR,AMR,Americas,YEAR,2018,,,,,,,,,235,235,,,,2023-05-10T14:48:02Z,2018,2018-01-01,2018-12-31
351194,MALARIA_CONF_CASES,COUNTRY,NIC,AMR,Americas,YEAR,2016,,,,,,,,,6 284,6284,,,,2023-05-10T14:48:00Z,2016,2016-01-01,2016-12-31
295222,MALARIA_CONF_CASES,COUNTRY,ERI,AFR,Africa,YEAR,2001,,,,,,,,,9 716,9716,,,,2023-05-10T14:48:20Z,2001,2001-01-01,2001-12-31
351138,MALARIA_CONF_CASES,COUNTRY,BWA,AFR,Africa,YEAR,2016,,,,,,,,,723,723,,,,2023-05-10T14:48:14Z,2016,2016-01-01,2016-12-31
304832,MALARIA_CONF_CASES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2005,,,,,,,,,48 121,48121,,,,2023-05-10T14:48:17Z,2005,2005-01-01,2005-12-31
351258,MALARIA_CONF_CASES,COUNTRY,COG,AFR,Africa,YEAR,2017,,,,,,,,,127 939,127939,,,,2023-05-10T14:47:56Z,2017,2017-01-01,2017-12-31
361561,MALARIA_CONF_CASES,COUNTRY,PAN,AMR,Americas,YEAR,2018,,,,,,,,,715,715,,,,2023-05-10T14:48:04Z,2018,2018-01-01,2018-12-31
351126,MALARIA_CONF_CASES,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,3 849,3849,,,,2023-05-10T14:48:25Z,2016,2016-01-01,2016-12-31
332394,MALARIA_CONF_CASES,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,2 788,2788,,,,2023-05-10T14:48:13Z,2011,2011-01-01,2011-12-31
341747,MALARIA_CONF_CASES,COUNTRY,UZB,EUR,Europe,YEAR,2014,,,,,,,,,1,1,,,,2023-05-10T14:48:23Z,2014,2014-01-01,2014-12-31
323125,MALARIA_CONF_CASES,COUNTRY,CIV,AFR,Africa,YEAR,2009,,,,,,,,,7 388,7388,,,,2023-05-10T14:48:11Z,2009,2009-01-01,2009-12-31
