Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7261594,MALARIA_EST_INCIDENCE,COUNTRY,VUT,WPR,Western Pacific,YEAR,2015,,,,,,,,,2.92 [2.51-3.42],2.91928,2.51413,3.42211,,2024-03-08T11:10:32Z,2015,2015-01-01,2015-12-31
7260621,MALARIA_EST_INCIDENCE,COUNTRY,GIN,AFR,Africa,YEAR,2008,,,,,,,,,369.37 [275.29-483.47],369.36937,275.28682,483.4724,,2024-03-08T11:10:32Z,2008,2008-01-01,2008-12-31
7262618,MALARIA_EST_INCIDENCE,COUNTRY,TZA,AFR,Africa,YEAR,2004,,,,,,,,,275.95 [212.31-351.59],275.94917,212.31007,351.58824,,2024-03-08T11:10:32Z,2004,2004-01-01,2004-12-31
7263350,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_EUROPE,,,YEAR,2000,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2000,2000-01-01,2000-12-31
7261358,MALARIA_EST_INCIDENCE,COUNTRY,ARM,EUR,Europe,YEAR,2009,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2009,2009-01-01,2009-12-31
7262166,MALARIA_EST_INCIDENCE,COUNTRY,ZWE,AFR,Africa,YEAR,2012,,,,,,,,,56.73 [38.86-76.29],56.72875,38.85822,76.29011,,2024-03-08T11:10:32Z,2012,2012-01-01,2012-12-31
7260796,MALARIA_EST_INCIDENCE,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2022,,,,,,,,,4.19 [3.86-4.60],4.19428,3.86112,4.59762,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7262200,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_SIDS,,,YEAR,2000,,,,,,,,,115.31 [68.88-171.30],115.30603,68.87667,171.29909,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2000,2000-01-01,2000-12-31
7261302,MALARIA_EST_INCIDENCE,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2022,,,,,,,,,1.22 [1.04-1.41],1.21694,1.03763,1.4098,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7263605,MALARIA_EST_INCIDENCE,COUNTRY,COD,AFR,Africa,YEAR,2002,,,,,,,,,465.89 [370.47-577.41],465.88886,370.47353,577.41215,,2024-03-08T11:10:32Z,2002,2002-01-01,2002-12-31
7261890,MALARIA_EST_INCIDENCE,COUNTRY,GNB,AFR,Africa,YEAR,2012,,,,,,,,,125.37 [67.34-212.33],125.36508,67.34036,212.32909,,2024-03-08T11:10:32Z,2012,2012-01-01,2012-12-31
7262629,MALARIA_EST_INCIDENCE,COUNTRY,TZA,AFR,Africa,YEAR,2015,,,,,,,,,141.39 [104.94-187.48],141.38899,104.9426,187.47776,,2024-03-08T11:10:32Z,2015,2015-01-01,2015-12-31
7263643,MALARIA_EST_INCIDENCE,COUNTRY,CRI,AMR,Americas,YEAR,2017,,,,,,,,,0.01 [0.01-0.01],0.00687,0.00687,0.00687,,2024-03-08T11:10:32Z,2017,2017-01-01,2017-12-31
7260371,MALARIA_EST_INCIDENCE,COUNTRY,GUF,AMR,Americas,YEAR,2011,,,,,,,,,10.93 [9.74-12.55],10.9312,9.73983,12.54806,,2024-03-08T11:10:32Z,2011,2011-01-01,2011-12-31
7261946,MALARIA_EST_INCIDENCE,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2022,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7260202,MALARIA_EST_INCIDENCE,COUNTRY,DOM,AMR,Americas,YEAR,2003,,,,,,,,,0.40 [0.33-0.48],0.4036,0.32769,0.48339,,2024-03-08T11:10:32Z,2003,2003-01-01,2003-12-31
7262322,MALARIA_EST_INCIDENCE,COUNTRY,SWZ,AFR,Africa,YEAR,2007,,,,,,,,,0.28 [0.28-0.28],0.27675,0.27675,0.27675,,2024-03-08T11:10:32Z,2007,2007-01-01,2007-12-31
7261433,MALARIA_EST_INCIDENCE,UNREGION,514,,,YEAR,2015,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2015,2015-01-01,2015-12-31
7262372,MALARIA_EST_INCIDENCE,COUNTRY,BRA,AMR,Americas,YEAR,2011,,,,,,,,,7.06 [6.78-7.54],7.05972,6.78449,7.53571,,2024-03-08T11:10:32Z,2011,2011-01-01,2011-12-31
7262643,MALARIA_EST_INCIDENCE,COUNTRY,BLZ,AMR,Americas,YEAR,2006,,,,,,,,,4.24 [4.24-4.24],4.23646,4.23646,4.23646,,2024-03-08T11:10:32Z,2006,2006-01-01,2006-12-31
7262866,MALARIA_EST_INCIDENCE,REGION,AMR,,,YEAR,2022,,,,,,,,,3.57 [3.31-3.88],3.57256,3.30821,3.87856,,2024-03-08T11:10:32Z,2022,2022-01-01,2022-12-31
7263603,MALARIA_EST_INCIDENCE,COUNTRY,COD,AFR,Africa,YEAR,2000,,,,,,,,,461.27 [371.72-563.91],461.27113,371.72364,563.91096,,2024-03-08T11:10:32Z,2000,2000-01-01,2000-12-31
7262178,MALARIA_EST_INCIDENCE,COUNTRY,BWA,AFR,Africa,YEAR,2001,,,,,,,,,6.59 [4.02-11.94],6.59005,4.0158,11.94141,,2024-03-08T11:10:32Z,2001,2001-01-01,2001-12-31
7260967,MALARIA_EST_INCIDENCE,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2009,,,,,,,,,1.52 [1.52-1.52],1.52262,1.52262,1.52262,,2024-03-08T11:10:32Z,2009,2009-01-01,2009-12-31
7261933,MALARIA_EST_INCIDENCE,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2009,,,,,,,,,2.05 [2.05-2.05],2.04733,2.04733,2.04733,,2024-03-08T11:10:32Z,2009,2009-01-01,2009-12-31
7262052,MALARIA_EST_INCIDENCE,COUNTRY,SEN,AFR,Africa,YEAR,2013,,,,,,,,,58.36 [41.73-77.31],58.35836,41.72683,77.31249,,2024-03-08T11:10:32Z,2013,2013-01-01,2013-12-31
7260511,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_CARIBBEAN,,,YEAR,2013,,,,,,,,,4.28 [2.61-6.59],4.27875,2.60839,6.58805,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2013,2013-01-01,2013-12-31
7262139,MALARIA_EST_INCIDENCE,COUNTRY,ZAF,AFR,Africa,YEAR,2008,,,,,,,,,1.54 [1.54-1.54],1.54175,1.54175,1.54175,,2024-03-08T11:10:32Z,2008,2008-01-01,2008-12-31
7261851,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_POLYNESIA,,,YEAR,2019,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2019,2019-01-01,2019-12-31
7263413,MALARIA_EST_INCIDENCE,UNREGION,154,,,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2017,2017-01-01,2017-12-31
7261596,MALARIA_EST_INCIDENCE,COUNTRY,VUT,WPR,Western Pacific,YEAR,2017,,,,,,,,,7.81 [5.98-10.52],7.80736,5.97783,10.52236,,2024-03-08T11:10:32Z,2017,2017-01-01,2017-12-31
7261132,MALARIA_EST_INCIDENCE,COUNTRY,MDG,AFR,Africa,YEAR,2013,,,,,,,,,63.48 [40.79-97.67],63.47666,40.79066,97.66646,,2024-03-08T11:10:32Z,2013,2013-01-01,2013-12-31
