Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
500077,MALARIA_EST_MORTALITY,COUNTRY,TZA,AFR,Africa,YEAR,2008,,,,,,,,,52.00 [50.08-540.83],52.00033,50.07594,540.83326,,2023-05-10T14:50:29Z,2008,2008-01-01,2008-12-31
500162,MALARIA_EST_MORTALITY,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,0.54 [0.18-13.37],0.53501,0.18351,13.36578,,2023-05-10T14:50:20Z,2009,2009-01-01,2009-12-31
500213,MALARIA_EST_MORTALITY,COUNTRY,BOL,AMR,Americas,YEAR,2010,,,,,,,,,0.22 [0.09-3.45],0.21561,0.08624,3.44977,,2023-05-10T14:50:22Z,2010,2010-01-01,2010-12-31
490791,MALARIA_EST_MORTALITY,COUNTRY,ERI,AFR,Africa,YEAR,2006,,,,,,,,,1.25 [0.49-23.96],1.24996,0.4861,23.95756,,2023-05-10T14:50:29Z,2006,2006-01-01,2006-12-31
509888,MALARIA_EST_MORTALITY,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:22Z,2011,2011-01-01,2011-12-31
509960,MALARIA_EST_MORTALITY,COUNTRY,KEN,AFR,Africa,YEAR,2012,,,,,,,,,22.95 [22.22-237.80],22.95441,22.22029,237.80007,,2023-05-10T14:50:18Z,2012,2012-01-01,2012-12-31
537666,MALARIA_EST_MORTALITY,COUNTRY,KOR,WPR,Western Pacific,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:37Z,2017,2017-01-01,2017-12-31
481574,MALARIA_EST_MORTALITY,COUNTRY,NER,AFR,Africa,YEAR,2004,,,,,,,,,133.73 [124.31-1 440.87],133.73348,124.3072,1440.87422,,2023-05-10T14:50:33Z,2004,2004-01-01,2004-12-31
490896,MALARIA_EST_MORTALITY,COUNTRY,CPV,AFR,Africa,YEAR,2007,,,,,,,,,1.52 [1.52-15.24],1.52404,1.52404,15.24042,,2023-05-10T14:50:25Z,2007,2007-01-01,2007-12-31
546695,MALARIA_EST_MORTALITY,COUNTRY,GTM,AMR,Americas,YEAR,2021,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:43Z,2021,2021-01-01,2021-12-31
500091,MALARIA_EST_MORTALITY,REGION,AMR,,,YEAR,2009,,,,,,,,,0.37 [0.26-5.49],0.37166,0.25792,5.49479,,2023-05-10T14:50:19Z,2009,2009-01-01,2009-12-31
537644,MALARIA_EST_MORTALITY,REGION,EUR,,,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:36Z,2017,2017-01-01,2017-12-31
509920,MALARIA_EST_MORTALITY,COUNTRY,BOL,AMR,Americas,YEAR,2012,,,,,,,,,0.08 [0.02-1.46],0.08342,0.02085,1.45981,,2023-05-10T14:50:17Z,2012,2012-01-01,2012-12-31
471689,MALARIA_EST_MORTALITY,COUNTRY,MLI,AFR,Africa,YEAR,2001,,,,,,,,,192.08 [181.51-2 035.94],192.07819,181.51174,2035.94469,,2023-05-10T14:50:34Z,2001,2001-01-01,2001-12-31
500029,MALARIA_EST_MORTALITY,COUNTRY,KOR,WPR,Western Pacific,YEAR,2008,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:29Z,2008,2008-01-01,2008-12-31
490820,MALARIA_EST_MORTALITY,COUNTRY,MLI,AFR,Africa,YEAR,2006,,,,,,,,,171.74 [161.18-1 828.09],171.73949,161.18405,1828.0875,,2023-05-10T14:50:30Z,2006,2006-01-01,2006-12-31
471672,MALARIA_EST_MORTALITY,COUNTRY,GUF,AMR,Americas,YEAR,2001,,,,,,,,,9.49 [4.22-158.18],9.49057,4.21803,158.17612,,2023-05-10T14:50:34Z,2001,2001-01-01,2001-12-31
471902,MALARIA_EST_MORTALITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2003,,,,,,,,,0.09 [0.09-0.90],0.0901,0.0901,0.90096,,2023-05-10T14:50:27Z,2003,2003-01-01,2003-12-31
509947,MALARIA_EST_MORTALITY,COUNTRY,GMB,AFR,Africa,YEAR,2012,,,,,,,,,26.01 [25.08-270.26],26.00662,25.08474,270.25532,,2023-05-10T14:50:18Z,2012,2012-01-01,2012-12-31
528397,MALARIA_EST_MORTALITY,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2015,,,,,,,,,0.62 [0.29-9.84],0.61869,0.28872,9.84005,,2023-05-10T14:50:16Z,2015,2015-01-01,2015-12-31
471793,MALARIA_EST_MORTALITY,COUNTRY,LBR,AFR,Africa,YEAR,2002,,,,,,,,,207.54 [194.47-2 215.25],207.54107,194.47174,2215.25264,,2023-05-10T14:50:35Z,2002,2002-01-01,2002-12-31
528526,MALARIA_EST_MORTALITY,COUNTRY,CPV,AFR,Africa,YEAR,2016,,,,,,,,,0.69 [0.69-6.89],0.68879,0.68879,6.88791,,2023-05-10T14:50:16Z,2016,2016-01-01,2016-12-31
519131,MALARIA_EST_MORTALITY,COUNTRY,ZAF,AFR,Africa,YEAR,2014,,,,,,,,,3.18 [3.18-31.79],3.17927,3.17927,31.7927,,2023-05-10T14:50:12Z,2014,2014-01-01,2014-12-31
471901,MALARIA_EST_MORTALITY,COUNTRY,LBR,AFR,Africa,YEAR,2003,,,,,,,,,181.38 [169.91-1 934.09],181.38367,169.90943,1934.08927,,2023-05-10T14:50:27Z,2003,2003-01-01,2003-12-31
463367,MALARIA_EST_MORTALITY,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,0.72 [0.18-14.38],0.71882,0.17971,14.37647,,2023-05-10T14:50:24Z,2000,2000-01-01,2000-12-31
519088,MALARIA_EST_MORTALITY,COUNTRY,MYT,AFR,Africa,YEAR,2014,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:12Z,2014,2014-01-01,2014-12-31
546571,MALARIA_EST_MORTALITY,COUNTRY,COM,AFR,Africa,YEAR,2020,,,,,,,,,1.36 [0.62-21.09],1.36448,0.62022,21.08747,,2023-05-10T14:50:41Z,2020,2020-01-01,2020-12-31
518903,MALARIA_EST_MORTALITY,COUNTRY,ZWE,AFR,Africa,YEAR,2012,,,,,,,,,14.51 [5.91-263.75],14.51346,5.90662,263.75286,,2023-05-10T14:50:19Z,2012,2012-01-01,2012-12-31
481675,MALARIA_EST_MORTALITY,COUNTRY,MDG,AFR,Africa,YEAR,2005,,,,,,,,,8.72 [0.34-229.56],8.7164,0.34043,229.56367,,2023-05-10T14:50:31Z,2005,2005-01-01,2005-12-31
537691,MALARIA_EST_MORTALITY,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2017,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:36Z,2017,2017-01-01,2017-12-31
490776,MALARIA_EST_MORTALITY,COUNTRY,CAF,AFR,Africa,YEAR,2006,,,,,,,,,233.26 [200.89-2 738.95],233.25987,200.89178,2738.94641,,2023-05-10T14:50:29Z,2006,2006-01-01,2006-12-31
500127,MALARIA_EST_MORTALITY,COUNTRY,GMB,AFR,Africa,YEAR,2009,,,,,,,,,26.41 [25.56-273.68],26.4094,25.55749,273.67808,,2023-05-10T14:50:19Z,2009,2009-01-01,2009-12-31
528566,MALARIA_EST_MORTALITY,COUNTRY,MRT,AFR,Africa,YEAR,2016,,,,,,,,,25.89 [22.38-322.57],25.88915,22.38462,322.56552,,2023-05-10T14:50:16Z,2016,2016-01-01,2016-12-31
471874,MALARIA_EST_MORTALITY,COUNTRY,DZA,AFR,Africa,YEAR,2003,,,,,,,,,0 [0-0],0,0,0,,2023-05-10T14:50:26Z,2003,2003-01-01,2003-12-31
