Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
574925,MALARIA_IMPORTED,COUNTRY,TZA,AFR,Africa,YEAR,2020,,,,,,,,,4 314,4314,,,,2022-02-10T08:19:45Z,2020,2020-01-01,2020-12-31
556205,MALARIA_IMPORTED,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,1 529,1529,,,,2022-02-10T08:19:42Z,2011,2011-01-01,2011-12-31
556277,MALARIA_IMPORTED,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2013,,,,,,,,,95,95,,,,2022-02-10T08:19:44Z,2013,2013-01-01,2013-12-31
556242,MALARIA_IMPORTED,COUNTRY,MEX,AMR,Americas,YEAR,2012,,,,,,,,,9,9,,,,2022-02-10T08:19:43Z,2012,2012-01-01,2012-12-31
565075,MALARIA_IMPORTED,COUNTRY,NIC,AMR,Americas,YEAR,2017,,,,,,,,,3,3,,,,2022-02-10T08:19:43Z,2017,2017-01-01,2017-12-31
565022,MALARIA_IMPORTED,COUNTRY,PER,AMR,Americas,YEAR,2016,,,,,,,,,48,48,,,,2022-02-10T08:19:44Z,2016,2016-01-01,2016-12-31
565151,MALARIA_IMPORTED,COUNTRY,UZB,EUR,Europe,YEAR,2018,,,,,,,,,0,0,,,,2022-02-10T08:19:45Z,2018,2018-01-01,2018-12-31
565224,MALARIA_IMPORTED,COUNTRY,COL,AMR,Americas,YEAR,2020,,,,,,,,,457,457,,,,2022-02-10T08:19:41Z,2020,2020-01-01,2020-12-31
556218,MALARIA_IMPORTED,COUNTRY,TKM,EUR,Europe,YEAR,2011,,,,,,,,,0,0,,,,2022-02-10T08:19:45Z,2011,2011-01-01,2011-12-31
556359,MALARIA_IMPORTED,GLOBAL,GLOBAL,,,YEAR,2015,,,,,,,,,  93 250,93250,,,,2022-04-14T12:41:17Z,2015,2015-01-01,2015-12-31
556259,MALARIA_IMPORTED,COUNTRY,AZE,EUR,Europe,YEAR,2013,,,,,,,,,4,4,,,,2022-02-10T08:19:40Z,2013,2013-01-01,2013-12-31
556170,MALARIA_IMPORTED,COUNTRY,DZA,AFR,Africa,YEAR,2010,,,,,,,,,396,396,,,,2022-02-10T08:19:40Z,2010,2010-01-01,2010-12-31
565135,MALARIA_IMPORTED,COUNTRY,PER,AMR,Americas,YEAR,2018,,,,,,,,,176,176,,,,2022-02-10T08:19:44Z,2018,2018-01-01,2018-12-31
565219,MALARIA_IMPORTED,COUNTRY,BOL,AMR,Americas,YEAR,2020,,,,,,,,,7,7,,,,2022-02-10T08:19:41Z,2020,2020-01-01,2020-12-31
565196,MALARIA_IMPORTED,COUNTRY,PRY,AMR,Americas,YEAR,2019,,,,,,,,,0,0,,,,2022-02-10T08:19:44Z,2019,2019-01-01,2019-12-31
556207,MALARIA_IMPORTED,COUNTRY,KOR,WPR,Western Pacific,YEAR,2011,,,,,,,,,64,64,,,,2022-02-10T08:19:44Z,2011,2011-01-01,2011-12-31
556283,MALARIA_IMPORTED,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,2 479,2479,,,,2022-02-10T08:19:44Z,2013,2013-01-01,2013-12-31
556251,MALARIA_IMPORTED,COUNTRY,TKM,EUR,Europe,YEAR,2012,,,,,,,,,0,0,,,,2022-02-10T08:19:45Z,2012,2012-01-01,2012-12-31
556171,MALARIA_IMPORTED,REGION,EMR,,,YEAR,2010,,,,,,,,,  6 192,6192,,,,2022-04-14T12:41:09Z,2010,2010-01-01,2010-12-31
556179,MALARIA_IMPORTED,COUNTRY,MEX,AMR,Americas,YEAR,2010,,,,,,,,,7,7,,,,2022-02-10T08:19:43Z,2010,2010-01-01,2010-12-31
574929,MALARIA_IMPORTED,COUNTRY,VUT,WPR,Western Pacific,YEAR,2020,,,,,,,,,14,14,,,,2022-02-10T08:19:45Z,2020,2020-01-01,2020-12-31
556296,MALARIA_IMPORTED,REGION,AMR,,,YEAR,2014,,,,,,,,,  12 356,12356,,,,2022-04-14T12:41:09Z,2014,2014-01-01,2014-12-31
556345,MALARIA_IMPORTED,COUNTRY,BOL,AMR,Americas,YEAR,2015,,,,,,,,,33,33,,,,2022-02-10T08:19:41Z,2015,2015-01-01,2015-12-31
556380,MALARIA_IMPORTED,COUNTRY,STP,AFR,Africa,YEAR,2015,,,,,,,,,2,2,,,,2022-02-10T08:19:44Z,2015,2015-01-01,2015-12-31
565217,MALARIA_IMPORTED,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2020,,,,,,,,,2,2,,,,2022-02-10T08:19:41Z,2020,2020-01-01,2020-12-31
565194,MALARIA_IMPORTED,COUNTRY,PHL,WPR,Western Pacific,YEAR,2019,,,,,,,,,95,95,,,,2022-02-10T08:19:44Z,2019,2019-01-01,2019-12-31
556284,MALARIA_IMPORTED,REGION,SEAR,,,YEAR,2013,,,,,,,,,236,236,,,,2022-04-14T12:41:09Z,2013,2013-01-01,2013-12-31
556276,MALARIA_IMPORTED,COUNTRY,KOR,WPR,Western Pacific,YEAR,2013,,,,,,,,,50,50,,,,2022-02-10T08:19:44Z,2013,2013-01-01,2013-12-31
556185,MALARIA_IMPORTED,COUNTRY,TJK,EUR,Europe,YEAR,2010,,,,,,,,,4,4,,,,2022-02-10T08:19:44Z,2010,2010-01-01,2010-12-31
556272,MALARIA_IMPORTED,COUNTRY,GEO,EUR,Europe,YEAR,2013,,,,,,,,,7,7,,,,2022-02-10T08:19:42Z,2013,2013-01-01,2013-12-31
556349,MALARIA_IMPORTED,COUNTRY,CHN,WPR,Western Pacific,YEAR,2015,,,,,,,,,3 212,3212,,,,2022-02-10T08:19:41Z,2015,2015-01-01,2015-12-31
556317,MALARIA_IMPORTED,COUNTRY,KOR,WPR,Western Pacific,YEAR,2014,,,,,,,,,78,78,,,,2022-02-10T08:19:44Z,2014,2014-01-01,2014-12-31
565205,MALARIA_IMPORTED,COUNTRY,TJK,EUR,Europe,YEAR,2019,,,,,,,,,3,3,,,,2022-02-10T08:19:45Z,2019,2019-01-01,2019-12-31
556384,MALARIA_IMPORTED,COUNTRY,TJK,EUR,Europe,YEAR,2015,,,,,,,,,4,4,,,,2022-02-10T08:19:45Z,2015,2015-01-01,2015-12-31
556263,MALARIA_IMPORTED,COUNTRY,BWA,AFR,Africa,YEAR,2013,,,,,,,,,30,30,,,,2022-02-10T08:19:41Z,2013,2013-01-01,2013-12-31
565170,MALARIA_IMPORTED,COUNTRY,CPV,AFR,Africa,YEAR,2019,,,,,,,,,39,39,,,,2022-02-10T08:19:41Z,2019,2019-01-01,2019-12-31
556267,MALARIA_IMPORTED,COUNTRY,DOM,AMR,Americas,YEAR,2013,,,,,,,,,106,106,,,,2022-02-10T08:19:42Z,2013,2013-01-01,2013-12-31
556388,MALARIA_IMPORTED,COUNTRY,UZB,EUR,Europe,YEAR,2015,,,,,,,,,0,0,,,,2022-02-10T08:19:45Z,2015,2015-01-01,2015-12-31
556321,MALARIA_IMPORTED,COUNTRY,MYS,WPR,Western Pacific,YEAR,2014,,,,,,,,,  766,766,,,,2022-02-28T10:57:29Z,2014,2014-01-01,2014-12-31
565212,MALARIA_IMPORTED,REGION,WPR,,,YEAR,2019,,,,,,,,,  9 718,9718,,,,2022-04-14T12:41:09Z,2019,2019-01-01,2019-12-31
556312,MALARIA_IMPORTED,GLOBAL,GLOBAL,,,YEAR,2014,,,,,,,,,  37 453,37453,,,,2022-04-14T12:41:17Z,2014,2014-01-01,2014-12-31
565043,MALARIA_IMPORTED,COUNTRY,ZWE,AFR,Africa,YEAR,2016,,,,,,,,,358,358,,,,2022-02-10T08:19:45Z,2016,2016-01-01,2016-12-31
565214,MALARIA_IMPORTED,REGION,AFR,,,YEAR,2020,,,,,,,,,  33 014,33014,,,,2022-04-14T12:41:09Z,2020,2020-01-01,2020-12-31
565180,MALARIA_IMPORTED,COUNTRY,HND,AMR,Americas,YEAR,2019,,,,,,,,,61,61,,,,2022-02-10T08:19:42Z,2019,2019-01-01,2019-12-31
556253,MALARIA_IMPORTED,COUNTRY,UZB,EUR,Europe,YEAR,2012,,,,,,,,,1,1,,,,2022-02-10T08:19:45Z,2012,2012-01-01,2012-12-31
565068,MALARIA_IMPORTED,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,868,868,,,,2022-02-10T08:19:43Z,2017,2017-01-01,2017-12-31
556348,MALARIA_IMPORTED,COUNTRY,BWA,AFR,Africa,YEAR,2015,,,,,,,,,48,48,,,,2022-02-10T08:19:41Z,2015,2015-01-01,2015-12-31
556383,MALARIA_IMPORTED,COUNTRY,THA,SEAR,South-East Asia,YEAR,2015,,,,,,,,,9 890,9890,,,,2022-02-10T08:19:45Z,2015,2015-01-01,2015-12-31
556363,MALARIA_IMPORTED,COUNTRY,KGZ,EUR,Europe,YEAR,2015,,,,,,,,,1,1,,,,2022-02-10T08:19:43Z,2015,2015-01-01,2015-12-31
556270,MALARIA_IMPORTED,REGION,EMR,,,YEAR,2013,,,,,,,,,  6 664,6664,,,,2022-04-14T12:41:09Z,2013,2013-01-01,2013-12-31
574928,MALARIA_IMPORTED,COUNTRY,VNM,WPR,Western Pacific,YEAR,2020,,,,,,,,,46,46,,,,2022-02-10T08:19:45Z,2020,2020-01-01,2020-12-31
574918,MALARIA_IMPORTED,COUNTRY,SLV,AMR,Americas,YEAR,2020,,,,,,,,,0,0,,,,2022-02-10T08:19:42Z,2020,2020-01-01,2020-12-31
565243,MALARIA_IMPORTED,COUNTRY,MEX,AMR,Americas,YEAR,2020,,,,,,,,,10,10,,,,2022-02-10T08:19:43Z,2020,2020-01-01,2020-12-31
556264,MALARIA_IMPORTED,COUNTRY,CHN,WPR,Western Pacific,YEAR,2013,,,,,,,,,4 051,4051,,,,2022-02-10T08:19:41Z,2013,2013-01-01,2013-12-31
565172,MALARIA_IMPORTED,COUNTRY,DOM,AMR,Americas,YEAR,2019,,,,,,,,,23,23,,,,2022-02-10T08:19:42Z,2019,2019-01-01,2019-12-31
565015,MALARIA_IMPORTED,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2016,,,,,,,,,41,41,,,,2022-02-10T08:19:44Z,2016,2016-01-01,2016-12-31
565116,MALARIA_IMPORTED,COUNTRY,DZA,AFR,Africa,YEAR,2018,,,,,,,,,1 241,1241,,,,2022-02-10T08:19:40Z,2018,2018-01-01,2018-12-31
