Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
584121,MALARIA_INDIG,COUNTRY,NAM,AFR,Africa,YEAR,2011,,,,,,,,,1 525,1525,,,,2023-05-10T14:50:55Z,2011,2011-01-01,2011-12-31
584208,MALARIA_INDIG,COUNTRY,GUF,AMR,Americas,YEAR,2012,,,,,,,,,900,900,,,,2023-05-10T14:51:01Z,2012,2012-01-01,2012-12-31
575124,MALARIA_INDIG,COUNTRY,COL,AMR,Americas,YEAR,2010,,,,,,,,,117 650,117650,,,,2023-05-10T14:51:02Z,2010,2010-01-01,2010-12-31
602494,MALARIA_INDIG,REGION,AMR,,,YEAR,2016,,,,,,,,,560 356,560356,,,,2023-05-10T14:51:04Z,2016,2016-01-01,2016-12-31
593179,MALARIA_INDIG,COUNTRY,CMR,AFR,Africa,YEAR,2013,,,,,,,,,42 581,42581,,,,2023-05-10T14:51:07Z,2013,2013-01-01,2013-12-31
584265,MALARIA_INDIG,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2012,,,,,,,,,5 208,5208,,,,2023-05-10T14:51:05Z,2012,2012-01-01,2012-12-31
621030,MALARIA_INDIG,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,39 687,39687,,,,2023-05-10T14:50:56Z,2019,2019-01-01,2019-12-31
575026,MALARIA_INDIG,COUNTRY,KGZ,EUR,Europe,YEAR,2006,,,,,,,,,318,318,,,,2023-05-10T14:50:56Z,2006,2006-01-01,2006-12-31
611481,MALARIA_INDIG,COUNTRY,CAF,AFR,Africa,YEAR,2018,,,,,,,,,972 119,972119,,,,2023-05-10T14:51:02Z,2018,2018-01-01,2018-12-31
575049,MALARIA_INDIG,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,467,467,,,,2023-05-10T14:51:00Z,2007,2007-01-01,2007-12-31
621053,MALARIA_INDIG,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,105 295,105295,,,,2023-05-10T14:50:56Z,2020,2020-01-01,2020-12-31
621251,MALARIA_INDIG,COUNTRY,STP,AFR,Africa,YEAR,2021,,,,,,,,,2 719,2719,,,,2023-05-10T14:51:07Z,2021,2021-01-01,2021-12-31
602599,MALARIA_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2016,,,,,,,,,4 161,4161,,,,2023-05-10T14:50:55Z,2016,2016-01-01,2016-12-31
593386,MALARIA_INDIG,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,119 859,119859,,,,2023-05-10T14:50:55Z,2015,2015-01-01,2015-12-31
575081,MALARIA_INDIG,REGION,AFR,,,YEAR,2009,,,,,,,,,0,0,,,,2023-05-10T14:51:08Z,2009,2009-01-01,2009-12-31
593266,MALARIA_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2013,,,,,,,,,17 128,17128,,,,2023-05-10T14:51:08Z,2013,2013-01-01,2013-12-31
575095,MALARIA_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2009,,,,,,,,,531,531,,,,2023-05-10T14:50:56Z,2009,2009-01-01,2009-12-31
575160,MALARIA_INDIG,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,218,218,,,,2023-05-10T14:50:51Z,2010,2010-01-01,2010-12-31
602454,MALARIA_INDIG,COUNTRY,PER,AMR,Americas,YEAR,2015,,,,,,,,,61 865,61865,,,,2023-05-10T14:51:09Z,2015,2015-01-01,2015-12-31
621096,MALARIA_INDIG,COUNTRY,HND,AMR,Americas,YEAR,2020,,,,,,,,,815,815,,,,2023-05-10T14:51:06Z,2020,2020-01-01,2020-12-31
575144,MALARIA_INDIG,COUNTRY,GTM,AMR,Americas,YEAR,2010,,,,,,,,,7 384,7384,,,,2023-05-10T14:50:55Z,2010,2010-01-01,2010-12-31
621159,MALARIA_INDIG,COUNTRY,ZWE,AFR,Africa,YEAR,2020,,,,,,,,,447 381,447381,,,,2023-05-10T14:50:59Z,2020,2020-01-01,2020-12-31
611404,MALARIA_INDIG,COUNTRY,KHM,WPR,Western Pacific,YEAR,2017,,,,,,,,,76 804,76804,,,,2023-05-10T14:51:06Z,2017,2017-01-01,2017-12-31
611653,MALARIA_INDIG,COUNTRY,PHL,WPR,Western Pacific,YEAR,2019,,,,,,,,,5 681,5681,,,,2023-05-10T14:51:04Z,2019,2019-01-01,2019-12-31
611401,MALARIA_INDIG,COUNTRY,KAZ,EUR,Europe,YEAR,2017,,,,,,,,,0,0,,,,2023-05-10T14:51:04Z,2017,2017-01-01,2017-12-31
575040,MALARIA_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2007,,,,,,,,,24,24,,,,2023-05-10T14:51:02Z,2007,2007-01-01,2007-12-31
621033,MALARIA_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2019,,,,,,,,,104,104,,,,2023-05-10T14:51:01Z,2019,2019-01-01,2019-12-31
574942,MALARIA_INDIG,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,6,6,,,,2023-05-10T14:50:54Z,2000,2000-01-01,2000-12-31
584048,MALARIA_INDIG,COUNTRY,UZB,EUR,Europe,YEAR,2010,,,,,,,,,3,3,,,,2023-05-10T14:51:06Z,2010,2010-01-01,2010-12-31
611504,MALARIA_INDIG,COUNTRY,GMB,AFR,Africa,YEAR,2018,,,,,,,,,87 448,87448,,,,2023-05-10T14:51:07Z,2018,2018-01-01,2018-12-31
584108,MALARIA_INDIG,COUNTRY,LAO,WPR,Western Pacific,YEAR,2011,,,,,,,,,17 532,17532,,,,2023-05-10T14:51:04Z,2011,2011-01-01,2011-12-31
621168,MALARIA_INDIG,COUNTRY,BDI,AFR,Africa,YEAR,2021,,,,,,,,,6 615 714,6615714,,,,2023-05-10T14:51:07Z,2021,2021-01-01,2021-12-31
593314,MALARIA_INDIG,COUNTRY,GTM,AMR,Americas,YEAR,2014,,,,,,,,,4 929,4929,,,,2023-05-10T14:51:03Z,2014,2014-01-01,2014-12-31
602501,MALARIA_INDIG,COUNTRY,BFA,AFR,Africa,YEAR,2016,,,,,,,,,9 779 411,9779411,,,,2023-05-10T14:50:58Z,2016,2016-01-01,2016-12-31
593279,MALARIA_INDIG,COUNTRY,AZE,EUR,Europe,YEAR,2014,,,,,,,,,0,0,,,,2023-05-10T14:51:06Z,2014,2014-01-01,2014-12-31
611647,MALARIA_INDIG,COUNTRY,NIC,AMR,Americas,YEAR,2019,,,,,,,,,13 200,13200,,,,2023-05-10T14:51:06Z,2019,2019-01-01,2019-12-31
584238,MALARIA_INDIG,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,0,0,,,,2023-05-10T14:50:57Z,2012,2012-01-01,2012-12-31
593220,MALARIA_INDIG,COUNTRY,MDG,AFR,Africa,YEAR,2013,,,,,,,,,433 450,433450,,,,2023-05-10T14:51:03Z,2013,2013-01-01,2013-12-31
611630,MALARIA_INDIG,COUNTRY,KHM,WPR,Western Pacific,YEAR,2019,,,,,,,,,32 196,32196,,,,2023-05-10T14:51:06Z,2019,2019-01-01,2019-12-31
621036,MALARIA_INDIG,COUNTRY,TCD,AFR,Africa,YEAR,2019,,,,,,,,,1 632 529,1632529,,,,2023-05-10T14:50:54Z,2019,2019-01-01,2019-12-31
611505,MALARIA_INDIG,COUNTRY,GNB,AFR,Africa,YEAR,2018,,,,,,,,,171 075,171075,,,,2023-05-10T14:51:05Z,2018,2018-01-01,2018-12-31
621101,MALARIA_INDIG,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:51:06Z,2020,2020-01-01,2020-12-31
621021,MALARIA_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2019,,,,,,,,,0,0,,,,2023-05-10T14:51:00Z,2019,2019-01-01,2019-12-31
621196,MALARIA_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2021,,,,,,,,,0,0,,,,2023-05-10T14:51:00Z,2021,2021-01-01,2021-12-31
621106,MALARIA_INDIG,COUNTRY,LAO,WPR,Western Pacific,YEAR,2020,,,,,,,,,3 489,3489,,,,2023-05-10T14:51:07Z,2020,2020-01-01,2020-12-31
602428,MALARIA_INDIG,COUNTRY,KAZ,EUR,Europe,YEAR,2015,,,,,,,,,0,0,,,,2023-05-10T14:51:00Z,2015,2015-01-01,2015-12-31
593154,MALARIA_INDIG,COUNTRY,VUT,WPR,Western Pacific,YEAR,2012,,,,,,,,,4 532,4532,,,,2023-05-10T14:51:02Z,2012,2012-01-01,2012-12-31
611532,MALARIA_INDIG,COUNTRY,NAM,AFR,Africa,YEAR,2018,,,,,,,,,30 567,30567,,,,2023-05-10T14:50:50Z,2018,2018-01-01,2018-12-31
575077,MALARIA_INDIG,COUNTRY,TKM,EUR,Europe,YEAR,2008,,,,,,,,,0,0,,,,2023-05-10T14:50:53Z,2008,2008-01-01,2008-12-31
611493,MALARIA_INDIG,COUNTRY,DZA,AFR,Africa,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:50:55Z,2018,2018-01-01,2018-12-31
602642,MALARIA_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2017,,,,,,,,,0,0,,,,2023-05-10T14:51:06Z,2017,2017-01-01,2017-12-31
621143,MALARIA_INDIG,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:50:54Z,2020,2020-01-01,2020-12-31
621178,MALARIA_INDIG,COUNTRY,CHN,WPR,Western Pacific,YEAR,2021,,,,,,,,,0,0,,,,2023-05-10T14:51:03Z,2021,2021-01-01,2021-12-31
611471,MALARIA_INDIG,COUNTRY,AZE,EUR,Europe,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:51:02Z,2018,2018-01-01,2018-12-31
575091,MALARIA_INDIG,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,4 345,4345,,,,2023-05-10T14:50:55Z,2009,2009-01-01,2009-12-31
593404,MALARIA_INDIG,COUNTRY,CHN,WPR,Western Pacific,YEAR,2015,,,,,,,,,39,39,,,,2023-05-10T14:51:08Z,2015,2015-01-01,2015-12-31
621085,MALARIA_INDIG,COUNTRY,ETH,AFR,Africa,YEAR,2020,,,,,,,,,1 743 755,1743755,,,,2023-05-10T14:50:58Z,2020,2020-01-01,2020-12-31
574943,MALARIA_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2000,,,,,,,,,6 853,6853,,,,2023-05-10T14:51:05Z,2000,2000-01-01,2000-12-31
584156,MALARIA_INDIG,COUNTRY,UZB,EUR,Europe,YEAR,2011,,,,,,,,,0,0,,,,2023-05-10T14:50:59Z,2011,2011-01-01,2011-12-31
584176,MALARIA_INDIG,COUNTRY,BLZ,AMR,Americas,YEAR,2012,,,,,,,,,33,33,,,,2023-05-10T14:50:55Z,2012,2012-01-01,2012-12-31
602477,MALARIA_INDIG,COUNTRY,TKM,EUR,Europe,YEAR,2015,,,,,,,,,0,0,,,,2023-05-10T14:50:57Z,2015,2015-01-01,2015-12-31
574936,MALARIA_INDIG,REGION,EMR,,,YEAR,2000,,,,,,,,,15,15,,,,2023-05-10T14:50:52Z,2000,2000-01-01,2000-12-31
611484,MALARIA_INDIG,COUNTRY,CMR,AFR,Africa,YEAR,2018,,,,,,,,,2 257 633,2257633,,,,2023-05-10T14:50:52Z,2018,2018-01-01,2018-12-31
611610,MALARIA_INDIG,COUNTRY,ETH,AFR,Africa,YEAR,2019,,,,,,,,,904 495,904495,,,,2023-05-10T14:51:02Z,2019,2019-01-01,2019-12-31
593270,MALARIA_INDIG,COUNTRY,ZAF,AFR,Africa,YEAR,2013,,,,,,,,,8 645,8645,,,,2023-05-10T14:51:02Z,2013,2013-01-01,2013-12-31
574999,MALARIA_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2004,,,,,,,,,692,692,,,,2023-05-10T14:51:08Z,2004,2004-01-01,2004-12-31
575122,MALARIA_INDIG,COUNTRY,CIV,AFR,Africa,YEAR,2010,,,,,,,,,62 726,62726,,,,2023-05-10T14:51:03Z,2010,2010-01-01,2010-12-31
611489,MALARIA_INDIG,COUNTRY,CPV,AFR,Africa,YEAR,2018,,,,,,,,,2,2,,,,2023-05-10T14:51:02Z,2018,2018-01-01,2018-12-31
593330,MALARIA_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2014,,,,,,,,,0,0,,,,2023-05-10T14:51:03Z,2014,2014-01-01,2014-12-31
593332,MALARIA_INDIG,COUNTRY,MDG,AFR,Africa,YEAR,2014,,,,,,,,,470 212,470212,,,,2023-05-10T14:50:55Z,2014,2014-01-01,2014-12-31
575125,MALARIA_INDIG,COUNTRY,COM,AFR,Africa,YEAR,2010,,,,,,,,,36 538,36538,,,,2023-05-10T14:51:07Z,2010,2010-01-01,2010-12-31
593240,MALARIA_INDIG,COUNTRY,PRY,AMR,Americas,YEAR,2013,,,,,,,,,0,0,,,,2023-05-10T14:51:00Z,2013,2013-01-01,2013-12-31
611435,MALARIA_INDIG,REGION,SEAR,,,YEAR,2017,,,,,,,,,1 233 031,1233031,,,,2023-05-10T14:50:51Z,2017,2017-01-01,2017-12-31
602561,MALARIA_INDIG,COUNTRY,NAM,AFR,Africa,YEAR,2016,,,,,,,,,19 510,19510,,,,2023-05-10T14:51:05Z,2016,2016-01-01,2016-12-31
575166,MALARIA_INDIG,COUNTRY,MRT,AFR,Africa,YEAR,2010,,,,,,,,,1 994,1994,,,,2023-05-10T14:50:56Z,2010,2010-01-01,2010-12-31
602541,MALARIA_INDIG,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,81,81,,,,2023-05-10T14:50:53Z,2016,2016-01-01,2016-12-31
593387,MALARIA_INDIG,REGION,AFR,,,YEAR,2015,,,,,,,,,96 139 932,96139932,,,,2023-05-10T14:50:51Z,2015,2015-01-01,2015-12-31
611587,MALARIA_INDIG,COUNTRY,BFA,AFR,Africa,YEAR,2019,,,,,,,,,5 877 426,5877426,,,,2023-05-10T14:50:53Z,2019,2019-01-01,2019-12-31
584027,MALARIA_INDIG,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,720 557,720557,,,,2023-05-10T14:51:02Z,2010,2010-01-01,2010-12-31
611398,MALARIA_INDIG,COUNTRY,IND,SEAR,South-East Asia,YEAR,2017,,,,,,,,,844 558,844558,,,,2023-05-10T14:51:05Z,2017,2017-01-01,2017-12-31
602455,MALARIA_INDIG,COUNTRY,PHL,WPR,Western Pacific,YEAR,2015,,,,,,,,,11 325,11325,,,,2023-05-10T14:50:55Z,2015,2015-01-01,2015-12-31
593203,MALARIA_INDIG,COUNTRY,GUF,AMR,Americas,YEAR,2013,,,,,,,,,875,875,,,,2023-05-10T14:51:04Z,2013,2013-01-01,2013-12-31
621068,MALARIA_INDIG,COUNTRY,BWA,AFR,Africa,YEAR,2020,,,,,,,,,884,884,,,,2023-05-10T14:50:54Z,2020,2020-01-01,2020-12-31
575123,MALARIA_INDIG,COUNTRY,COD,AFR,Africa,YEAR,2010,,,,,,,,,2 417 780,2417780,,,,2023-05-10T14:51:07Z,2010,2010-01-01,2010-12-31
611576,MALARIA_INDIG,COUNTRY,ZWE,AFR,Africa,YEAR,2018,,,,,,,,,263 346,263346,,,,2023-05-10T14:51:03Z,2018,2018-01-01,2018-12-31
611478,MALARIA_INDIG,COUNTRY,BRA,AMR,Americas,YEAR,2018,,,,,,,,,187 757,187757,,,,2023-05-10T14:50:58Z,2018,2018-01-01,2018-12-31
621173,MALARIA_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2021,,,,,,,,,9 959,9959,,,,2023-05-10T14:50:52Z,2021,2021-01-01,2021-12-31
611584,MALARIA_INDIG,COUNTRY,AZE,EUR,Europe,YEAR,2019,,,,,,,,,0,0,,,,2023-05-10T14:50:54Z,2019,2019-01-01,2019-12-31
593262,MALARIA_INDIG,COUNTRY,TZA,AFR,Africa,YEAR,2013,,,,,,,,,1 554 117,1554117,,,,2023-05-10T14:50:57Z,2013,2013-01-01,2013-12-31
611439,MALARIA_INDIG,COUNTRY,SLV,AMR,Americas,YEAR,2017,,,,,,,,,0,0,,,,2023-05-10T14:51:00Z,2017,2017-01-01,2017-12-31
602618,MALARIA_INDIG,COUNTRY,BLZ,AMR,Americas,YEAR,2017,,,,,,,,,7,7,,,,2023-05-10T14:51:07Z,2017,2017-01-01,2017-12-31
611412,MALARIA_INDIG,COUNTRY,MLI,AFR,Africa,YEAR,2017,,,,,,,,,2 277 218,2277218,,,,2023-05-10T14:51:02Z,2017,2017-01-01,2017-12-31
602620,MALARIA_INDIG,COUNTRY,BRA,AMR,Americas,YEAR,2017,,,,,,,,,189 559,189559,,,,2023-05-10T14:51:04Z,2017,2017-01-01,2017-12-31
584223,MALARIA_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2012,,,,,,,,,23,23,,,,2023-05-10T14:50:53Z,2012,2012-01-01,2012-12-31
584026,MALARIA_INDIG,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,29,29,,,,2023-05-10T14:50:57Z,2010,2010-01-01,2010-12-31
621103,MALARIA_INDIG,COUNTRY,KGZ,EUR,Europe,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:50:57Z,2020,2020-01-01,2020-12-31
593239,MALARIA_INDIG,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2013,,,,,,,,,14 407,14407,,,,2023-05-10T14:50:55Z,2013,2013-01-01,2013-12-31
611546,MALARIA_INDIG,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,61,61,,,,2023-05-10T14:50:55Z,2018,2018-01-01,2018-12-31
