Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
798799,MALARIA_PF_INDIG,COUNTRY,TZA,AFR,Africa,YEAR,2013,,,,,,,,,71 132,71132,,,,2023-05-10T14:52:44Z,2013,2013-01-01,2013-12-31
826740,MALARIA_PF_INDIG,COUNTRY,NGA,AFR,Africa,YEAR,2021,,,,,,,,,18 765 444,18765444,,,,2023-05-10T14:52:49Z,2021,2021-01-01,2021-12-31
807563,MALARIA_PF_INDIG,COUNTRY,HTI,AMR,Americas,YEAR,2015,,,,,,,,,17 583,17583,,,,2023-05-10T14:52:46Z,2015,2015-01-01,2015-12-31
798781,MALARIA_PF_INDIG,COUNTRY,PNG,WPR,Western Pacific,YEAR,2013,,,,,,,,,119 469,119469,,,,2023-05-10T14:52:38Z,2013,2013-01-01,2013-12-31
807586,MALARIA_PF_INDIG,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,83,83,,,,2023-05-10T14:52:42Z,2015,2015-01-01,2015-12-31
807649,MALARIA_PF_INDIG,COUNTRY,HTI,AMR,Americas,YEAR,2016,,,,,,,,,21 430,21430,,,,2023-05-10T14:52:48Z,2016,2016-01-01,2016-12-31
817269,MALARIA_PF_INDIG,REGION,EMR,,,YEAR,2019,,,,,,,,,1 690 147,1690147,,,,2023-05-10T14:52:40Z,2019,2019-01-01,2019-12-31
817356,MALARIA_PF_INDIG,COUNTRY,CIV,AFR,Africa,YEAR,2020,,,,,,,,,4 980 640,4980640,,,,2023-05-10T14:52:40Z,2020,2020-01-01,2020-12-31
826751,MALARIA_PF_INDIG,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,1 182 363,1182363,,,,2023-05-10T14:52:36Z,2021,2021-01-01,2021-12-31
798665,MALARIA_PF_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2012,,,,,,,,,0,0,,,,2023-05-10T14:52:38Z,2012,2012-01-01,2012-12-31
826735,MALARIA_PF_INDIG,COUNTRY,MOZ,AFR,Africa,YEAR,2021,,,,,,,,,10 095 807,10095807,,,,2023-05-10T14:52:46Z,2021,2021-01-01,2021-12-31
826649,MALARIA_PF_INDIG,COUNTRY,NAM,AFR,Africa,YEAR,2020,,,,,,,,,12 331,12331,,,,2023-05-10T14:52:48Z,2020,2020-01-01,2020-12-31
817352,MALARIA_PF_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:52:35Z,2020,2020-01-01,2020-12-31
798775,MALARIA_PF_INDIG,COUNTRY,NER,AFR,Africa,YEAR,2013,,,,,,,,,2 306 354,2306354,,,,2023-05-10T14:52:45Z,2013,2013-01-01,2013-12-31
798818,MALARIA_PF_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2014,,,,,,,,,11,11,,,,2023-05-10T14:52:43Z,2014,2014-01-01,2014-12-31
817124,MALARIA_PF_INDIG,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,580 145,580145,,,,2023-05-10T14:52:43Z,2017,2017-01-01,2017-12-31
807749,MALARIA_PF_INDIG,COUNTRY,MDG,AFR,Africa,YEAR,2017,,,,,,,,,2 224,2224,,,,2023-05-10T14:52:40Z,2017,2017-01-01,2017-12-31
817288,MALARIA_PF_INDIG,COUNTRY,KEN,AFR,Africa,YEAR,2019,,,,,,,,,5 019 389,5019389,,,,2023-05-10T14:52:46Z,2019,2019-01-01,2019-12-31
798814,MALARIA_PF_INDIG,COUNTRY,BEN,AFR,Africa,YEAR,2014,,,,,,,,,1 044 235,1044235,,,,2023-05-10T14:52:41Z,2014,2014-01-01,2014-12-31
807509,MALARIA_PF_INDIG,COUNTRY,STP,AFR,Africa,YEAR,2014,,,,,,,,,1 754,1754,,,,2023-05-10T14:52:49Z,2014,2014-01-01,2014-12-31
826713,MALARIA_PF_INDIG,COUNTRY,ETH,AFR,Africa,YEAR,2021,,,,,,,,,912 075,912075,,,,2023-05-10T14:52:47Z,2021,2021-01-01,2021-12-31
798761,MALARIA_PF_INDIG,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,72,72,,,,2023-05-10T14:52:37Z,2013,2013-01-01,2013-12-31
798772,MALARIA_PF_INDIG,COUNTRY,MYS,WPR,Western Pacific,YEAR,2013,,,,,,,,,422,422,,,,2023-05-10T14:52:43Z,2013,2013-01-01,2013-12-31
807552,MALARIA_PF_INDIG,REGION,EUR,,,YEAR,2015,,,,,,,,,0,0,,,,2023-05-10T14:52:37Z,2015,2015-01-01,2015-12-31
807700,MALARIA_PF_INDIG,COUNTRY,ZMB,AFR,Africa,YEAR,2016,,,,,,,,,4 851 319,4851319,,,,2023-05-10T14:52:39Z,2016,2016-01-01,2016-12-31
798624,MALARIA_PF_INDIG,COUNTRY,STP,AFR,Africa,YEAR,2011,,,,,,,,,6 363,6363,,,,2023-05-10T14:52:44Z,2011,2011-01-01,2011-12-31
826652,MALARIA_PF_INDIG,COUNTRY,NIC,AMR,Americas,YEAR,2020,,,,,,,,,11 250,11250,,,,2023-05-10T14:52:47Z,2020,2020-01-01,2020-12-31
826629,MALARIA_PF_INDIG,COUNTRY,GTM,AMR,Americas,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:52:44Z,2020,2020-01-01,2020-12-31
798616,MALARIA_PF_INDIG,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2011,,,,,,,,,0,0,,,,2023-05-10T14:52:37Z,2011,2011-01-01,2011-12-31
789621,MALARIA_PF_INDIG,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,77 271,77271,,,,2023-05-10T14:52:46Z,2010,2010-01-01,2010-12-31
798705,MALARIA_PF_INDIG,COUNTRY,SLE,AFR,Africa,YEAR,2012,,,,,,,,,1 537 322,1537322,,,,2023-05-10T14:52:37Z,2012,2012-01-01,2012-12-31
807537,MALARIA_PF_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2015,,,,,,,,,13,13,,,,2023-05-10T14:52:45Z,2015,2015-01-01,2015-12-31
826754,MALARIA_PF_INDIG,COUNTRY,SLB,WPR,Western Pacific,YEAR,2021,,,,,,,,,22 057,22057,,,,2023-05-10T14:52:41Z,2021,2021-01-01,2021-12-31
817160,MALARIA_PF_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,,,,,,,,,1,1,,,,2023-05-10T14:52:43Z,2018,2018-01-01,2018-12-31
826640,MALARIA_PF_INDIG,COUNTRY,KOR,WPR,Western Pacific,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:52:49Z,2020,2020-01-01,2020-12-31
817332,MALARIA_PF_INDIG,COUNTRY,VEN,AMR,Americas,YEAR,2019,,,,,,,,,64 307,64307,,,,2023-05-10T14:52:48Z,2019,2019-01-01,2019-12-31
807621,MALARIA_PF_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2016,,,,,,,,,1,1,,,,2023-05-10T14:52:46Z,2016,2016-01-01,2016-12-31
826694,MALARIA_PF_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2021,,,,,,,,,165,165,,,,2023-05-10T14:52:48Z,2021,2021-01-01,2021-12-31
807571,MALARIA_PF_INDIG,COUNTRY,LAO,WPR,Western Pacific,YEAR,2015,,,,,,,,,14 439,14439,,,,2023-05-10T14:52:36Z,2015,2015-01-01,2015-12-31
807693,MALARIA_PF_INDIG,COUNTRY,UZB,EUR,Europe,YEAR,2016,,,,,,,,,0,0,,,,2023-05-10T14:52:48Z,2016,2016-01-01,2016-12-31
798758,MALARIA_PF_INDIG,COUNTRY,HTI,AMR,Americas,YEAR,2013,,,,,,,,,20 957,20957,,,,2023-05-10T14:52:42Z,2013,2013-01-01,2013-12-31
798719,MALARIA_PF_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2012,,,,,,,,,11 448,11448,,,,2023-05-10T14:52:46Z,2012,2012-01-01,2012-12-31
798774,MALARIA_PF_INDIG,COUNTRY,NAM,AFR,Africa,YEAR,2013,,,,,,,,,136,136,,,,2023-05-10T14:52:38Z,2013,2013-01-01,2013-12-31
798686,MALARIA_PF_INDIG,COUNTRY,MOZ,AFR,Africa,YEAR,2012,,,,,,,,,927 841,927841,,,,2023-05-10T14:52:48Z,2012,2012-01-01,2012-12-31
789578,MALARIA_PF_INDIG,COUNTRY,KEN,AFR,Africa,YEAR,2010,,,,,,,,,898 531,898531,,,,2023-05-10T14:52:41Z,2010,2010-01-01,2010-12-31
807542,MALARIA_PF_INDIG,COUNTRY,CMR,AFR,Africa,YEAR,2015,,,,,,,,,592 351,592351,,,,2023-05-10T14:52:47Z,2015,2015-01-01,2015-12-31
789548,MALARIA_PF_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2010,,,,,,,,,1 165,1165,,,,2023-05-10T14:52:48Z,2010,2010-01-01,2010-12-31
817218,MALARIA_PF_INDIG,REGION,SEAR,,,YEAR,2018,,,,,,,,,368 174,368174,,,,2023-05-10T14:52:41Z,2018,2018-01-01,2018-12-31
789631,MALARIA_PF_INDIG,COUNTRY,BOL,AMR,Americas,YEAR,2011,,,,,,,,,370,370,,,,2023-05-10T14:52:48Z,2011,2011-01-01,2011-12-31
826654,MALARIA_PF_INDIG,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,74 899,74899,,,,2023-05-10T14:52:39Z,2020,2020-01-01,2020-12-31
817285,MALARIA_PF_INDIG,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2019,,,,,,,,,142 036,142036,,,,2023-05-10T14:52:37Z,2019,2019-01-01,2019-12-31
798821,MALARIA_PF_INDIG,COUNTRY,CHN,WPR,Western Pacific,YEAR,2014,,,,,,,,,6,6,,,,2023-05-10T14:52:44Z,2014,2014-01-01,2014-12-31
789594,MALARIA_PF_INDIG,COUNTRY,PER,AMR,Americas,YEAR,2010,,,,,,,,,2 291,2291,,,,2023-05-10T14:52:44Z,2010,2010-01-01,2010-12-31
817229,MALARIA_PF_INDIG,COUNTRY,TKM,EUR,Europe,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:52:47Z,2018,2018-01-01,2018-12-31
807591,MALARIA_PF_INDIG,COUNTRY,SSD,AFR,Africa,YEAR,2015,,,,,,,,,24 371,24371,,,,2023-05-10T14:52:43Z,2015,2015-01-01,2015-12-31
817251,MALARIA_PF_INDIG,COUNTRY,BLZ,AMR,Americas,YEAR,2019,,,,,,,,,0,0,,,,2023-05-10T14:52:38Z,2019,2019-01-01,2019-12-31
817131,MALARIA_PF_INDIG,COUNTRY,STP,AFR,Africa,YEAR,2017,,,,,,,,,2 239,2239,,,,2023-05-10T14:52:48Z,2017,2017-01-01,2017-12-31
798861,MALARIA_PF_INDIG,COUNTRY,NIC,AMR,Americas,YEAR,2014,,,,,,,,,155,155,,,,2023-05-10T14:52:38Z,2014,2014-01-01,2014-12-31
798695,MALARIA_PF_INDIG,COUNTRY,PAN,AMR,Americas,YEAR,2012,,,,,,,,,1,1,,,,2023-05-10T14:52:46Z,2012,2012-01-01,2012-12-31
826768,MALARIA_PF_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2021,,,,,,,,,142,142,,,,2023-05-10T14:52:42Z,2021,2021-01-01,2021-12-31
817265,MALARIA_PF_INDIG,COUNTRY,CRI,AMR,Americas,YEAR,2019,,,,,,,,,8,8,,,,2023-05-10T14:52:46Z,2019,2019-01-01,2019-12-31
798620,MALARIA_PF_INDIG,COUNTRY,SEN,AFR,Africa,YEAR,2011,,,,,,,,,274 119,274119,,,,2023-05-10T14:52:39Z,2011,2011-01-01,2011-12-31
798714,MALARIA_PF_INDIG,COUNTRY,TUR,EUR,Europe,YEAR,2012,,,,,,,,,0,0,,,,2023-05-10T14:52:36Z,2012,2012-01-01,2012-12-31
817208,MALARIA_PF_INDIG,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2018,,,,,,,,,5,5,,,,2023-05-10T14:52:45Z,2018,2018-01-01,2018-12-31
817210,MALARIA_PF_INDIG,COUNTRY,PAN,AMR,Americas,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:52:40Z,2018,2018-01-01,2018-12-31
807615,MALARIA_PF_INDIG,COUNTRY,ARG,AMR,Americas,YEAR,2016,,,,,,,,,0,0,,,,2023-05-10T14:52:40Z,2016,2016-01-01,2016-12-31
807715,MALARIA_PF_INDIG,COUNTRY,CMR,AFR,Africa,YEAR,2017,,,,,,,,,1 191 257,1191257,,,,2023-05-10T14:52:36Z,2017,2017-01-01,2017-12-31
789667,MALARIA_PF_INDIG,COUNTRY,MOZ,AFR,Africa,YEAR,2011,,,,,,,,,663 132,663132,,,,2023-05-10T14:52:44Z,2011,2011-01-01,2011-12-31
817157,MALARIA_PF_INDIG,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2018,,,,,,,,,8 470,8470,,,,2023-05-10T14:52:36Z,2018,2018-01-01,2018-12-31
817294,MALARIA_PF_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2019,,,,,,,,,0,0,,,,2023-05-10T14:52:45Z,2019,2019-01-01,2019-12-31
817316,MALARIA_PF_INDIG,COUNTRY,SLB,WPR,Western Pacific,YEAR,2019,,,,,,,,,15 595,15595,,,,2023-05-10T14:52:44Z,2019,2019-01-01,2019-12-31
807672,MALARIA_PF_INDIG,COUNTRY,PHL,WPR,Western Pacific,YEAR,2016,,,,,,,,,5 282,5282,,,,2023-05-10T14:52:48Z,2016,2016-01-01,2016-12-31
798682,MALARIA_PF_INDIG,COUNTRY,LAO,WPR,Western Pacific,YEAR,2012,,,,,,,,,37 685,37685,,,,2023-05-10T14:52:47Z,2012,2012-01-01,2012-12-31
807528,MALARIA_PF_INDIG,COUNTRY,AFG,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,4 004,4004,,,,2023-05-10T14:52:45Z,2015,2015-01-01,2015-12-31
817193,MALARIA_PF_INDIG,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:52:46Z,2018,2018-01-01,2018-12-31
807623,MALARIA_PF_INDIG,COUNTRY,CAF,AFR,Africa,YEAR,2016,,,,,,,,,1 032 764,1032764,,,,2023-05-10T14:52:41Z,2016,2016-01-01,2016-12-31
789557,MALARIA_PF_INDIG,COUNTRY,DOM,AMR,Americas,YEAR,2010,,,,,,,,,2 480,2480,,,,2023-05-10T14:52:41Z,2010,2010-01-01,2010-12-31
817213,MALARIA_PF_INDIG,COUNTRY,PNG,WPR,Western Pacific,YEAR,2018,,,,,,,,,174 818,174818,,,,2023-05-10T14:52:48Z,2018,2018-01-01,2018-12-31
807701,MALARIA_PF_INDIG,COUNTRY,ZWE,AFR,Africa,YEAR,2016,,,,,,,,,282 616,282616,,,,2023-05-10T14:52:40Z,2016,2016-01-01,2016-12-31
826732,MALARIA_PF_INDIG,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2021,,,,,,,,,0,0,,,,2023-05-10T14:52:38Z,2021,2021-01-01,2021-12-31
789585,MALARIA_PF_INDIG,COUNTRY,MYS,WPR,Western Pacific,YEAR,2010,,,,,,,,,1 344,1344,,,,2023-05-10T14:52:44Z,2010,2010-01-01,2010-12-31
798740,MALARIA_PF_INDIG,COUNTRY,CPV,AFR,Africa,YEAR,2013,,,,,,,,,22,22,,,,2023-05-10T14:52:45Z,2013,2013-01-01,2013-12-31
789577,MALARIA_PF_INDIG,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,166,166,,,,2023-05-10T14:52:45Z,2010,2010-01-01,2010-12-31
826738,MALARIA_PF_INDIG,COUNTRY,NAM,AFR,Africa,YEAR,2021,,,,,,,,,12 979,12979,,,,2023-05-10T14:52:48Z,2021,2021-01-01,2021-12-31
817363,MALARIA_PF_INDIG,COUNTRY,CRI,AMR,Americas,YEAR,2020,,,,,,,,,2,2,,,,2023-05-10T14:52:41Z,2020,2020-01-01,2020-12-31
807602,MALARIA_PF_INDIG,COUNTRY,UGA,AFR,Africa,YEAR,2015,,,,,,,,,7 137 662,7137662,,,,2023-05-10T14:52:43Z,2015,2015-01-01,2015-12-31
