Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
845098,MALARIA_PRES_CASES,COUNTRY,RWA,AFR,Africa,YEAR,2005,,,,,,,,,970 477,970477,,,,2023-05-10T14:52:49Z,2005,2005-01-01,2005-12-31
854395,MALARIA_PRES_CASES,COUNTRY,CAF,AFR,Africa,YEAR,2008,,,,,,,,,152 260,152260,,,,2023-05-10T14:53:08Z,2008,2008-01-01,2008-12-31
910951,MALARIA_PRES_CASES,COUNTRY,GHA,AFR,Africa,YEAR,2021,,,,,,,,,329 958,329958,,,,2023-05-10T14:53:11Z,2021,2021-01-01,2021-12-31
872318,MALARIA_PRES_CASES,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2011,,,,,,,,,13,13,,,,2023-05-10T14:53:01Z,2011,2011-01-01,2011-12-31
854295,MALARIA_PRES_CASES,COUNTRY,ECU,AMR,Americas,YEAR,2007,,,,,,,,,0,0,,,,2023-05-10T14:53:10Z,2007,2007-01-01,2007-12-31
854288,MALARIA_PRES_CASES,COUNTRY,COL,AMR,Americas,YEAR,2007,,,,,,,,,0,0,,,,2023-05-10T14:53:03Z,2007,2007-01-01,2007-12-31
834667,MALARIA_PRES_CASES,COUNTRY,NER,AFR,Africa,YEAR,2001,,,,,,,,,1 340 142,1340142,,,,2023-05-10T14:53:18Z,2001,2001-01-01,2001-12-31
845065,MALARIA_PRES_CASES,COUNTRY,HTI,AMR,Americas,YEAR,2005,,,,,,,,,0,0,,,,2023-05-10T14:52:56Z,2005,2005-01-01,2005-12-31
872287,MALARIA_PRES_CASES,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,0,0,,,,2023-05-10T14:53:18Z,2010,2010-01-01,2010-12-31
826800,MALARIA_PRES_CASES,REGION,EUR,,,YEAR,2000,,,,,,,,,214 721,214721,,,,2023-05-10T14:53:04Z,2000,2000-01-01,2000-12-31
890986,MALARIA_PRES_CASES,COUNTRY,MRT,AFR,Africa,YEAR,2017,,,,,,,,,162 572,162572,,,,2023-05-10T14:53:13Z,2017,2017-01-01,2017-12-31
881236,MALARIA_PRES_CASES,COUNTRY,CAF,AFR,Africa,YEAR,2015,,,,,,,,,354 702,354702,,,,2023-05-10T14:52:49Z,2015,2015-01-01,2015-12-31
863823,MALARIA_PRES_CASES,REGION,AFR,,,YEAR,2010,,,,,,,,,82 906 089,82906089,,,,2023-05-10T14:52:50Z,2010,2010-01-01,2010-12-31
872394,MALARIA_PRES_CASES,COUNTRY,SUR,AMR,Americas,YEAR,2011,,,,,,,,,0,0,,,,2023-05-10T14:53:18Z,2011,2011-01-01,2011-12-31
826814,MALARIA_PRES_CASES,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,0,0,,,,2023-05-10T14:52:56Z,2000,2000-01-01,2000-12-31
900670,MALARIA_PRES_CASES,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:53:02Z,2018,2018-01-01,2018-12-31
834627,MALARIA_PRES_CASES,COUNTRY,CRI,AMR,Americas,YEAR,2001,,,,,,,,,0,0,,,,2023-05-10T14:53:02Z,2001,2001-01-01,2001-12-31
863757,MALARIA_PRES_CASES,COUNTRY,HTI,AMR,Americas,YEAR,2009,,,,,,,,,0,0,,,,2023-05-10T14:53:10Z,2009,2009-01-01,2009-12-31
890872,MALARIA_PRES_CASES,COUNTRY,LAO,WPR,Western Pacific,YEAR,2016,,,,,,,,,0,0,,,,2023-05-10T14:53:06Z,2016,2016-01-01,2016-12-31
863805,MALARIA_PRES_CASES,COUNTRY,TCD,AFR,Africa,YEAR,2009,,,,,,,,,549 048,549048,,,,2023-05-10T14:52:55Z,2009,2009-01-01,2009-12-31
863672,MALARIA_PRES_CASES,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,0,0,,,,2023-05-10T14:53:10Z,2008,2008-01-01,2008-12-31
900827,MALARIA_PRES_CASES,COUNTRY,ZMB,AFR,Africa,YEAR,2019,,,,,,,,,212 670,212670,,,,2023-05-10T14:53:06Z,2019,2019-01-01,2019-12-31
844949,MALARIA_PRES_CASES,GLOBAL,GLOBAL,,,YEAR,2004,,,,,,,,,78 321 629,78321629,,,,2023-05-10T14:53:10Z,2004,2004-01-01,2004-12-31
854192,MALARIA_PRES_CASES,COUNTRY,GIN,AFR,Africa,YEAR,2006,,,,,,,,,780 608,780608,,,,2023-05-10T14:52:55Z,2006,2006-01-01,2006-12-31
844920,MALARIA_PRES_CASES,COUNTRY,BEN,AFR,Africa,YEAR,2004,,,,,,,,,853 034,853034,,,,2023-05-10T14:53:07Z,2004,2004-01-01,2004-12-31
881183,MALARIA_PRES_CASES,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,3 391 108,3391108,,,,2023-05-10T14:53:18Z,2014,2014-01-01,2014-12-31
863847,MALARIA_PRES_CASES,COUNTRY,CRI,AMR,Americas,YEAR,2010,,,,,,,,,0,0,,,,2023-05-10T14:53:15Z,2010,2010-01-01,2010-12-31
910917,MALARIA_PRES_CASES,REGION,WPR,,,YEAR,2020,,,,,,,,,196 227,196227,,,,2023-05-10T14:53:16Z,2020,2020-01-01,2020-12-31
826837,MALARIA_PRES_CASES,COUNTRY,PNG,WPR,Western Pacific,YEAR,2000,,,,,,,,,1 672 044,1672044,,,,2023-05-10T14:53:04Z,2000,2000-01-01,2000-12-31
854208,MALARIA_PRES_CASES,COUNTRY,KOR,WPR,Western Pacific,YEAR,2006,,,,,,,,,0,0,,,,2023-05-10T14:53:14Z,2006,2006-01-01,2006-12-31
890840,MALARIA_PRES_CASES,COUNTRY,COG,AFR,Africa,YEAR,2016,,,,,,,,,202 405,202405,,,,2023-05-10T14:53:02Z,2016,2016-01-01,2016-12-31
826777,MALARIA_PRES_CASES,REGION,AMR,,,YEAR,2000,,,,,,,,,0,0,,,,2023-05-10T14:52:54Z,2000,2000-01-01,2000-12-31
854200,MALARIA_PRES_CASES,COUNTRY,HTI,AMR,Americas,YEAR,2006,,,,,,,,,0,0,,,,2023-05-10T14:52:51Z,2006,2006-01-01,2006-12-31
