Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
921097,MALARIA_PV_INDIG,COUNTRY,VUT,WPR,Western Pacific,YEAR,2012,,,,,,,,,1 680,1680,,,,2022-02-10T08:14:16Z,2012,2012-01-01,2012-12-31
931798,MALARIA_PV_INDIG,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,1 833,1833,,,,2022-02-10T08:14:17Z,2017,2017-01-01,2017-12-31
931917,MALARIA_PV_INDIG,COUNTRY,VEN,AMR,Americas,YEAR,2019,,,,,,,,,308 132,308132,,,,2022-02-10T08:14:16Z,2019,2019-01-01,2019-12-31
921089,MALARIA_PV_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2012,,,,,,,,,167,167,,,,2022-02-10T08:14:15Z,2012,2012-01-01,2012-12-31
911090,MALARIA_PV_INDIG,COUNTRY,COM,AFR,Africa,YEAR,2011,,,,,,,,,334,334,,,,2022-02-10T08:14:10Z,2011,2011-01-01,2011-12-31
921265,MALARIA_PV_INDIG,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2015,,,,,,,,,24,24,,,,2022-02-10T08:14:16Z,2015,2015-01-01,2015-12-31
931782,MALARIA_PV_INDIG,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,5,5,,,,2022-02-10T08:14:15Z,2017,2017-01-01,2017-12-31
921079,MALARIA_PV_INDIG,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,228 215,228215,,,,2022-02-10T08:14:14Z,2012,2012-01-01,2012-12-31
931905,MALARIA_PV_INDIG,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2019,,,,,,,,,1 869,1869,,,,2022-02-10T08:14:10Z,2019,2019-01-01,2019-12-31
921145,MALARIA_PV_INDIG,COUNTRY,SLB,WPR,Western Pacific,YEAR,2013,,,,,,,,,11 628,11628,,,,2022-02-10T08:14:15Z,2013,2013-01-01,2013-12-31
931919,MALARIA_PV_INDIG,COUNTRY,VUT,WPR,Western Pacific,YEAR,2019,,,,,,,,,531,531,,,,2022-02-10T08:14:16Z,2019,2019-01-01,2019-12-31
931757,MALARIA_PV_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2017,,,,,,,,,0,0,,,,2022-02-10T08:14:11Z,2017,2017-01-01,2017-12-31
931753,MALARIA_PV_INDIG,REGION,EMR,,,YEAR,2017,,,,,,,,,  520 700,520700,,,,2022-04-14T12:41:12Z,2017,2017-01-01,2017-12-31
921190,MALARIA_PV_INDIG,COUNTRY,MEX,AMR,Americas,YEAR,2014,,,,,,,,,656,656,,,,2022-02-10T08:14:13Z,2014,2014-01-01,2014-12-31
