Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1124807,MALARIA_TOTAL_CASES,COUNTRY,GUF,AMR,Americas,YEAR,2006,,,,,,,,,4 074,4074,,,,2023-05-10T14:54:41Z,2006,2006-01-01,2006-12-31
1186620,MALARIA_TOTAL_CASES,COUNTRY,CMR,AFR,Africa,YEAR,2020,,,,,,,,,2 974 819,2974819,,,,2023-05-10T14:54:55Z,2020,2020-01-01,2020-12-31
1114872,MALARIA_TOTAL_CASES,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,24,24,,,,2023-05-10T14:54:51Z,2003,2003-01-01,2003-12-31
1135445,MALARIA_TOTAL_CASES,COUNTRY,MLI,AFR,Africa,YEAR,2008,,,,,,,,,1 045 424,1045424,,,,2023-05-10T14:54:35Z,2008,2008-01-01,2008-12-31
1145646,MALARIA_TOTAL_CASES,COUNTRY,BOL,AMR,Americas,YEAR,2010,,,,,,,,,13 769,13769,,,,2023-05-10T14:54:55Z,2010,2010-01-01,2010-12-31
1104393,MALARIA_TOTAL_CASES,COUNTRY,LAO,WPR,Western Pacific,YEAR,2000,,,,,,,,,40 106,40106,,,,2023-05-10T14:54:25Z,2000,2000-01-01,2000-12-31
1197414,MALARIA_TOTAL_CASES,COUNTRY,DOM,AMR,Americas,YEAR,2021,,,,,,,,,291,291,,,,2023-05-10T14:54:37Z,2021,2021-01-01,2021-12-31
1135503,MALARIA_TOTAL_CASES,COUNTRY,ARM,EUR,Europe,YEAR,2009,,,,,,,,,0,0,,,,2023-05-10T14:54:34Z,2009,2009-01-01,2009-12-31
1166435,MALARIA_TOTAL_CASES,COUNTRY,GEO,EUR,Europe,YEAR,2015,,,,,,,,,6,6,,,,2023-05-10T14:54:48Z,2015,2015-01-01,2015-12-31
1124673,MALARIA_TOTAL_CASES,COUNTRY,CMR,AFR,Africa,YEAR,2005,,,,,,,,,277 413,277413,,,,2023-05-10T14:54:54Z,2005,2005-01-01,2005-12-31
1124640,MALARIA_TOTAL_CASES,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2004,,,,,,,,,218 820,218820,,,,2023-05-10T14:54:45Z,2004,2004-01-01,2004-12-31
1124761,MALARIA_TOTAL_CASES,COUNTRY,ZAF,AFR,Africa,YEAR,2005,,,,,,,,,7 755,7755,,,,2023-05-10T14:54:44Z,2005,2005-01-01,2005-12-31
1124864,MALARIA_TOTAL_CASES,COUNTRY,TUR,EUR,Europe,YEAR,2006,,,,,,,,,1 592,1592,,,,2023-05-10T14:54:26Z,2006,2006-01-01,2006-12-31
1186624,MALARIA_TOTAL_CASES,COUNTRY,COM,AFR,Africa,YEAR,2020,,,,,,,,,4 546,4546,,,,2023-05-10T14:54:29Z,2020,2020-01-01,2020-12-31
1197358,MALARIA_TOTAL_CASES,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2020,,,,,,,,,1 819,1819,,,,2023-05-10T14:54:39Z,2020,2020-01-01,2020-12-31
1176686,MALARIA_TOTAL_CASES,COUNTRY,GUY,AMR,Americas,YEAR,2016,,,,,,,,,11 108,11108,,,,2023-05-10T14:54:35Z,2016,2016-01-01,2016-12-31
1135403,MALARIA_TOTAL_CASES,COUNTRY,CMR,AFR,Africa,YEAR,2008,,,,,,,,,1 650 749,1650749,,,,2023-05-10T14:54:54Z,2008,2008-01-01,2008-12-31
1104467,MALARIA_TOTAL_CASES,COUNTRY,DZA,AFR,Africa,YEAR,2001,,,,,,,,,435,435,,,,2023-05-10T14:54:36Z,2001,2001-01-01,2001-12-31
1135366,MALARIA_TOTAL_CASES,COUNTRY,TGO,AFR,Africa,YEAR,2007,,,,,,,,,753 221,753221,,,,2023-05-10T14:54:38Z,2007,2007-01-01,2007-12-31
1124872,MALARIA_TOTAL_CASES,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,217 270,217270,,,,2023-05-10T14:54:34Z,2006,2006-01-01,2006-12-31
1145610,MALARIA_TOTAL_CASES,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,72 362,72362,,,,2023-05-10T14:54:47Z,2009,2009-01-01,2009-12-31
1114865,MALARIA_TOTAL_CASES,COUNTRY,SLE,AFR,Africa,YEAR,2003,,,,,,,,,524 987,524987,,,,2023-05-10T14:54:31Z,2003,2003-01-01,2003-12-31
1166338,MALARIA_TOTAL_CASES,COUNTRY,KEN,AFR,Africa,YEAR,2014,,,,,,,,,9 698 529,9698529,,,,2023-05-10T14:54:46Z,2014,2014-01-01,2014-12-31
1114927,MALARIA_TOTAL_CASES,COUNTRY,GIN,AFR,Africa,YEAR,2004,,,,,,,,,876 837,876837,,,,2023-05-10T14:54:54Z,2004,2004-01-01,2004-12-31
1156611,MALARIA_TOTAL_CASES,COUNTRY,NER,AFR,Africa,YEAR,2012,,,,,,,,,6 398 943,6398943,,,,2023-05-10T14:54:34Z,2012,2012-01-01,2012-12-31
1114745,MALARIA_TOTAL_CASES,COUNTRY,PER,AMR,Americas,YEAR,2002,,,,,,,,,99 237,99237,,,,2023-05-10T14:54:27Z,2002,2002-01-01,2002-12-31
1176801,MALARIA_TOTAL_CASES,COUNTRY,HND,AMR,Americas,YEAR,2017,,,,,,,,,1 283,1283,,,,2023-05-10T14:54:55Z,2017,2017-01-01,2017-12-31
1186467,MALARIA_TOTAL_CASES,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,31 030,31030,,,,2023-05-10T14:54:46Z,2018,2018-01-01,2018-12-31
1145689,MALARIA_TOTAL_CASES,COUNTRY,KOR,WPR,Western Pacific,YEAR,2010,,,,,,,,,1 772,1772,,,,2023-05-10T14:54:30Z,2010,2010-01-01,2010-12-31
1166404,MALARIA_TOTAL_CASES,COUNTRY,ARG,AMR,Americas,YEAR,2015,,,,,,,,,11,11,,,,2023-05-10T14:54:40Z,2015,2015-01-01,2015-12-31
1176815,MALARIA_TOTAL_CASES,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,0,0,,,,2023-05-10T14:54:28Z,2017,2017-01-01,2017-12-31
1156597,MALARIA_TOTAL_CASES,COUNTRY,LAO,WPR,Western Pacific,YEAR,2012,,,,,,,,,46 153,46153,,,,2023-05-10T14:54:52Z,2012,2012-01-01,2012-12-31
1114786,MALARIA_TOTAL_CASES,COUNTRY,ARG,AMR,Americas,YEAR,2003,,,,,,,,,124,124,,,,2023-05-10T14:54:35Z,2003,2003-01-01,2003-12-31
